ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
20888,CS,1501,001,Lecture,"1","Upsorn Praphamontripong","We 12:00PM - 12:50PM","Chemical Engineering Bldg 005","Special Topics in Computer Science","Engineering Movies and Music",Open,24,30,0,"Student led special topic courses which vary by semester."
20890,CS,1501,002,Lecture,"1","Nicola Bezzo","Mo 1:00PM - 1:50PM","Mechanical Engr Bldg 213","Special Topics in Computer Science","Intro to Robotics",Open,29,48,0,"Student led special topic courses which vary by semester."
15789,CS,2102,001,Lecture,"3","Kevin Sullivan","TuTh 12:30PM - 1:45PM","Mechanical Engr Bldg 205","Discrete Mathematics","",Closed,150,150,2,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include finite and infinite sets, elementary combinatorial problems, and graph theory. Development of tools and mechanisms for reasoning about discrete problems.   Prerequisite: CS 1110, 1111, 1112 or 1120 with a grade of C- or higher."
16310,CS,2102,002,Lecture,"3","Kevin Sullivan","TuTh 2:00PM - 3:15PM","Mechanical Engr Bldg 205","Discrete Mathematics","",Closed,149,150,5,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include finite and infinite sets, elementary combinatorial problems, and graph theory. Development of tools and mechanisms for reasoning about discrete problems.   Prerequisite: CS 1110, 1111, 1112 or 1120 with a grade of C- or higher."
16855,CS,2102,003,Lecture,"3","Ashlie Hocking","TuTh 9:30AM - 10:45AM","Maury Hall 209","Discrete Mathematics","",Open,113,145,0,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include finite and infinite sets, elementary combinatorial problems, and graph theory. Development of tools and mechanisms for reasoning about discrete problems.   Prerequisite: CS 1110, 1111, 1112 or 1120 with a grade of C- or higher."
15786,CS,2110,001,Lecture,"3","Raymond Pettit","MoWeFr 10:00AM - 10:50AM","Olsson Hall 120","Software Development Methods","",Open,123,135,0,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
16222,CS,2110,002,Lecture,"3","Derrick Stone","MoWeFr 12:00PM - 12:50PM","Rice Hall 130","Software Development Methods","",Open,130,135,2,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
16633,CS,2110,003,Lecture,"3","Nada Basit","MoWeFr 1:00PM - 1:50PM","Mechanical Engr Bldg 205","Software Development Methods","",Closed,149,135,6,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
16850,CS,2110,004,Lecture,"3","John Hott","MoWeFr 9:00AM - 9:50AM","Rice Hall 130","Software Development Methods","",Open,66,135,0,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
15787,CS,2110,101,Laboratory,"0","Nada Basit","Mo 7:00PM - 8:45PM","Rice Hall 130","Software Development Methods","",Open,123,135,2,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
15788,CS,2110,102,Laboratory,"0","Nada Basit","Tu 7:00PM - 8:45PM","Rice Hall 130","Software Development Methods","",Open,69,135,1,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
16223,CS,2110,103,Laboratory,"0","Nada Basit","Mo 5:00PM - 6:45PM","Rice Hall 130","Software Development Methods","",Closed,143,135,2,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
16311,CS,2110,104,Laboratory,"0","Nada Basit","Tu 5:15PM - 7:00PM","Rice Hall 130","Software Development Methods","",Open,133,135,0,"A second course in computing with an emphasis on modern software development and principles central to computer science.  Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.  Prerequisite: CS 1110, 1111, 1112, or 1120 with a grade of C- or higher."
15790,CS,2150,001,Lecture,"3","Aaron Bloomfield","MoWeFr 9:00AM - 9:50AM","Ruffner Hall G008","Program and Data Representation","",Open,154,170,1,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
16542,CS,2150,002,Lecture,"3","Mark Floryan","MoWeFr 11:00AM - 11:50AM","Olsson Hall 120","Program and Data Representation","",Closed,148,148,12,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
18893,CS,2150,003,Lecture,"3","Mark Floryan","MoWeFr 10:00AM - 10:50AM","Mechanical Engr Bldg 341","Program and Data Representation","",Closed,79,80,8,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
15791,CS,2150,101,Laboratory,"0","Mark Floryan","Tu 9:30AM - 10:45AM","Olsson Hall 001","Program and Data Representation","",Closed,43,44,1,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
15792,CS,2150,102,Laboratory,"0","Mark Floryan","Tu 11:00AM - 12:15PM","Olsson Hall 001","Program and Data Representation","",Closed,44,44,4,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
15793,CS,2150,103,Laboratory,"0","Mark Floryan","Tu 12:30PM - 1:45PM","Olsson Hall 001","Program and Data Representation","",Closed,44,44,2,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
16224,CS,2150,104,Laboratory,"0","Mark Floryan","Tu 2:00PM - 3:15PM","Olsson Hall 001","Program and Data Representation","",Closed,43,44,2,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
16329,CS,2150,105,Laboratory,"0","Mark Floryan","Tu 3:30PM - 4:45PM","Olsson Hall 001","Program and Data Representation","",Closed,44,44,2,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
16541,CS,2150,106,Laboratory,"0","Mark Floryan","Tu 5:00PM - 6:15PM","Olsson Hall 009","Program and Data Representation","",Open,64,66,2,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
16634,CS,2150,107,Laboratory,"0","Mark Floryan","Tu 6:30PM - 7:45PM","Olsson Hall 009","Program and Data Representation","",Open,58,66,2,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
17026,CS,2150,108,Laboratory,"0","Mark Floryan","Tu 8:00AM - 9:15AM","Olsson Hall 001","Program and Data Representation","",Open,41,44,4,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts.   Prerequisite: CS 2102 and  CS 2110, both with grades of C- or higher."
18948,CS,2501,001,Lecture,"3","Raymond Pettit","MoWeFr 9:00AM - 9:50AM","Mechanical Engr Bldg 341","Special Topics in Computer Science","DSA2",Open,42,60,0,"Content varies, depending on instructor interests and the needs of the Department.  Taught strictly at the undergraduate level.  Prerequisite:  Instructor permission; additional specific requirements vary with topics."
20298,CS,2501,002,Laboratory,"0","Raymond Pettit","Mo 5:00PM - 6:15PM","Rice Hall 340","Special Topics in Computer Science","DSA2",Open,29,30,0,"Content varies, depending on instructor interests and the needs of the Department.  Taught strictly at the undergraduate level.  Prerequisite:  Instructor permission; additional specific requirements vary with topics."
20308,CS,2501,003,Laboratory,"0","Raymond Pettit","Mo 6:30PM - 7:45PM","Rice Hall 340","Special Topics in Computer Science","DSA2",Open,13,30,0,"Content varies, depending on instructor interests and the needs of the Department.  Taught strictly at the undergraduate level.  Prerequisite:  Instructor permission; additional specific requirements vary with topics."
18949,CS,2501,004,Lecture,"3","Luther Tychonievich","MoWeFr 2:00PM - 2:50PM","Olsson Hall 005","Special Topics in Computer Science","COA2",Open,43,60,0,"Content varies, depending on instructor interests and the needs of the Department.  Taught strictly at the undergraduate level.  Prerequisite:  Instructor permission; additional specific requirements vary with topics."
18950,CS,2501,005,Lecture,"3","Thomas Horton","MoWeFr 1:00PM - 1:50PM","Rice Hall 130","Special Topics in Computer Science","SW Development Essentials",Open,51,90,0,"Content varies, depending on instructor interests and the needs of the Department.  Taught strictly at the undergraduate level.  Prerequisite:  Instructor permission; additional specific requirements vary with topics."
16636,CS,2910,001,Practicum,"1","Upsorn Praphamontripong","TuTh 12:30PM - 1:45PM","Rice Hall 340","CS Education Practicum","",Closed,34,30,0,"An overview of computer science education for undergraduate students. Topics include ethics, diversity, tutoring and teaching techniques, and classroom management. Students enrolled in this course serve as a teaching assistant for a computer science course as part of their coursework."
20294,CS,2910,002,Practicum,"1","Upsorn Praphamontripong","TBA","TBA","CS Education Practicum","",Closed,47,30,0,"An overview of computer science education for undergraduate students. Topics include ethics, diversity, tutoring and teaching techniques, and classroom management. Students enrolled in this course serve as a teaching assistant for a computer science course as part of their coursework."
15795,CS,3102,001,Lecture,"3","Nathan Brunelle","TuTh 2:00PM - 3:15PM","Minor Hall 125","Theory of Computation","",Open,196,200,0,"Introduces computation theory including grammars, finite state machines, pushdown automata, and Turing machines.  Prerequisites: CS 2102 and  CS 2110 both with grades of C- or higher"
16635,CS,3205,001,Lecture,"3","Panagiotis Apostolellis","TuTh 3:30PM - 4:45PM","Thornton Hall E316","HCI in Software Development","",Open,59,94,0,"Human-computer interaction and user-centered design in the context of software engineering. Examines the fundamental principles of human-computer interaction. Includes evaluating a system's usability based on well-defined criteria; user and task analysis, as well as conceptual models and metaphors; the use of prototyping for evaluating design alternatives; and physical design of software user-interfaces, including windows, menus, and commands.  Prerequisite: CS 2110 with a grade of C- or higher"
18894,CS,3205,002,Lecture,"3","Panagiotis Apostolellis","TuTh 9:30AM - 10:45AM","Rice Hall 130","HCI in Software Development","",Open,79,94,0,"Human-computer interaction and user-centered design in the context of software engineering. Examines the fundamental principles of human-computer interaction. Includes evaluating a system's usability based on well-defined criteria; user and task analysis, as well as conceptual models and metaphors; the use of prototyping for evaluating design alternatives; and physical design of software user-interfaces, including windows, menus, and commands.  Prerequisite: CS 2110 with a grade of C- or higher"
16342,CS,3240,001,Lecture,"3","Mark Sherriff","TuTh 2:00PM - 3:15PM","Rice Hall 130","Advanced Software Development Techniques","",Open,122,130,2,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation.  Prerequisite: CS 2150 with a grade of C- or higher."
18895,CS,3240,002,Lecture,"3","Mark Sherriff","TuTh 11:00AM - 12:15PM","Wilson Hall 301","Advanced Software Development Techniques","",Open,122,130,6,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation.  Prerequisite: CS 2150 with a grade of C- or higher."
15796,CS,3240,101,Laboratory,"0","Mark Sherriff","Mo 2:00PM - 3:15PM","Olsson Hall 009","Advanced Software Development Techniques","",Closed,83,80,3,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation.  Prerequisite: CS 2150 with a grade of C- or higher."
15797,CS,3240,102,Laboratory,"0","Mark Sherriff","Mo 5:00PM - 6:15PM","Olsson Hall 009","Advanced Software Development Techniques","",Closed,81,80,3,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation.  Prerequisite: CS 2150 with a grade of C- or higher."
16934,CS,3240,103,Laboratory,"0","Mark Sherriff","Mo 3:30PM - 4:45PM","Olsson Hall 009","Advanced Software Development Techniques","",Closed,80,80,2,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation.  Prerequisite: CS 2150 with a grade of C- or higher."
16380,CS,3330,001,Lecture,"3","Charles Reiss","TuTh 11:00AM - 12:15PM","Olsson Hall 120","Computer Architecture","",Closed,131,130,6,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices.   Prerequisite: CS 2150 with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 3430. CPE majors cannot use this course to fulfill their program of study."
16637,CS,3330,002,Lecture,"3","Ashish Venkat","TuTh 2:00PM - 3:15PM","Olsson Hall 120","Computer Architecture","",Open,98,130,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices.   Prerequisite: CS 2150 with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 3430. CPE majors cannot use this course to fulfill their program of study."
16381,CS,3330,101,Laboratory,"0","Charles Reiss","We 2:00PM - 3:15PM","Olsson Hall 001","Computer Architecture","",Closed,44,45,3,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices.   Prerequisite: CS 2150 with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 3430. CPE majors cannot use this course to fulfill their program of study."
16382,CS,3330,102,Laboratory,"0","Charles Reiss","We 3:30PM - 4:45PM","Olsson Hall 001","Computer Architecture","",Open,43,45,1,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices.   Prerequisite: CS 2150 with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 3430. CPE majors cannot use this course to fulfill their program of study."
16517,CS,3330,103,Laboratory,"0","Charles Reiss","We 5:00PM - 6:15PM","Olsson Hall 011","Computer Architecture","",Open,61,70,3,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices.   Prerequisite: CS 2150 with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 3430. CPE majors cannot use this course to fulfill their program of study."
16638,CS,3330,104,Laboratory,"0","Charles Reiss","We 6:30PM - 7:45PM","Olsson Hall 011","Computer Architecture","",Open,41,70,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices.   Prerequisite: CS 2150 with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 3430. CPE majors cannot use this course to fulfill their program of study."
16743,CS,3330,105,Laboratory,"0","Charles Reiss","We 12:30PM - 1:45PM","Olsson Hall 001","Computer Architecture","",Open,40,45,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices.   Prerequisite: CS 2150 with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 3430. CPE majors cannot use this course to fulfill their program of study."
18896,CS,3501,001,Lecture,"3","Aaron Bloomfield","MoWeFr 12:00PM - 12:50PM","Olsson Hall 120","Special Topics in Computer Science","Introduction to Cybersecurity",Open,121,148,0,"Content varies, depending on instructor interests and the needs of the Department.  Taught strictly at the undergraduate level.  Prerequisite:  Instructor permission; additional specific requirements vary with topics."
20126,CS,3501,002,Lecture,"3","Preston Fletcher","TuTh 12:30PM - 1:45PM","Thornton Hall E316","Special Topics in Computer Science","Foundations of Data Analysis",Closed,55,50,3,"Content varies, depending on instructor interests and the needs of the Department.  Taught strictly at the undergraduate level.  Prerequisite:  Instructor permission; additional specific requirements vary with topics."
15900,CS,4102,001,Lecture,"3","Daniel Graham","MoWe 2:00PM - 3:15PM","Mechanical Engr Bldg 205","Algorithms","",Open,133,140,4,"Introduces the analysis of algorithms and the effects of data structures on them. Algorithms selected from areas such as sorting, searching, shortest paths, greedy algorithms, backtracking, divide-and-conquer, and dynamic programming. Data structures include heaps and search, splay, and spanning trees. Analysis techniques include asymtotic worst case, expected time, amortized analysis, and reductions between problems.     Prerequisite: CS 2102 and 2150 with grades of C- or higher, and APMA 1090 or MATH 1210 or MATH 1310."
16853,CS,4102,002,Lecture,"3","John Hott","MoWe 3:30PM - 4:45PM","Rice Hall 130","Algorithms","",Closed,139,135,3,"Introduces the analysis of algorithms and the effects of data structures on them. Algorithms selected from areas such as sorting, searching, shortest paths, greedy algorithms, backtracking, divide-and-conquer, and dynamic programming. Data structures include heaps and search, splay, and spanning trees. Analysis techniques include asymtotic worst case, expected time, amortized analysis, and reductions between problems.     Prerequisite: CS 2102 and 2150 with grades of C- or higher, and APMA 1090 or MATH 1210 or MATH 1310."
19102,CS,4330,001,Lecture,"3","Samira Khan","MoWe 2:00PM - 3:15PM","Mechanical Engineering 305","Advanced Computer Architecture","",Open,2,10,0,"Provides an overview of modern microprocessor design. The topics covered in the course will include the design of super-scalar processors and their memory systems, and the fundamentals of multi-core processor design.    Prerequisite: CS 2150 and CS 3330 with grades of C- or higher"
15798,CS,4414,001,Lecture,"3","Charles Reiss","TuTh 12:30PM - 1:45PM","Rice Hall 130","Operating Systems","",Closed,88,90,2,"Analyzes process communication and synchronization; resource management; virtual memory management algorithms; file systems; and networking and distributed systems.   Prerequisite: CS 2150 with grade of C- or higher, and CS 3330 or ECE 3430 with a grade of C- or higher."
